                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 0.5268,                 0.4126,                0.98293,                0.95976,                0.90682,                0.94961,                0.77319,                0.74592,                0.45799,                 1.1377,              0.0007922,              0.0007922,              0.0007922
                    124,                0.50748,                0.39879,                0.98848,                0.96332,                0.89867,                0.96053,                0.78508,                0.72742,                0.43592,                 1.1389,              0.0007823,              0.0007823,              0.0007823
                    125,                0.51986,                0.39821,                0.99173,                 0.9632,                0.89573,                0.95227,                0.77531,                0.73857,                0.43649,                 1.1608,              0.0007724,              0.0007724,              0.0007724
                    126,                0.51788,                0.40029,                0.98394,                 0.9571,                 0.8907,                0.95224,                0.77079,                0.73721,                0.45717,                 1.1624,              0.0007625,              0.0007625,              0.0007625
                    127,                0.51862,                0.40324,                0.98479,                0.97182,                0.88403,                0.95851,                0.76616,                0.76733,                0.44184,                 1.1826,              0.0007526,              0.0007526,              0.0007526
                    128,                0.51855,                0.39019,                0.98263,                0.94905,                0.90304,                0.95373,                0.77852,                0.74417,                0.43282,                  1.141,              0.0007427,              0.0007427,              0.0007427
                    129,                0.51543,                0.39363,                0.98219,                0.97247,                0.88783,                0.95792,                0.77908,                 0.7245,                0.43983,                 1.1401,              0.0007328,              0.0007328,              0.0007328
                    130,                0.51799,                0.39173,                0.97806,                0.94786,                0.89354,                0.95282,                0.77788,                0.74076,                0.44107,                 1.1431,              0.0007229,              0.0007229,              0.0007229
                    131,                0.50269,                0.39648,                0.97516,                0.95351,                0.91065,                0.95146,                0.77991,                0.72953,                0.45294,                 1.1497,               0.000713,               0.000713,               0.000713
                    132,                0.50431,                0.39465,                0.98025,                0.97236,                0.89544,                0.96009,                0.78028,                0.70448,                0.43255,                 1.1206,              0.0007031,              0.0007031,              0.0007031
                    133,                0.51834,                0.39166,                0.98516,                0.97245,                0.87643,                0.95548,                0.77742,                0.73622,                 0.4469,                 1.1512,              0.0006932,              0.0006932,              0.0006932
                    134,                0.51353,                 0.3907,                0.98459,                0.96657,                0.89544,                0.95478,                0.78012,                0.73216,                0.44749,                 1.1322,              0.0006833,              0.0006833,              0.0006833
                    135,                0.48636,                0.38055,                0.96046,                 0.9693,                0.90036,                 0.9607,                0.77853,                0.73201,                0.43833,                 1.1442,              0.0006734,              0.0006734,              0.0006734
                    136,                0.50127,                0.39059,                0.98112,                0.96152,                0.90248,                0.95309,                0.76776,                0.74232,                0.44931,                 1.1639,              0.0006635,              0.0006635,              0.0006635
                    137,                0.49467,                0.37621,                0.96607,                0.97552,                0.89734,                0.95704,                0.77887,                0.76065,                 0.4373,                 1.1819,              0.0006536,              0.0006536,              0.0006536
                    138,                0.48585,                0.37099,                0.95676,                0.97089,                0.88759,                0.95792,                0.78209,                0.74423,                0.44396,                  1.164,              0.0006437,              0.0006437,              0.0006437
                    139,                0.48172,                0.37539,                0.95169,                0.96862,                0.88783,                0.95825,                 0.7878,                0.73268,                0.42918,                 1.1592,              0.0006338,              0.0006338,              0.0006338
                    140,                0.48808,                0.38367,                 0.9762,                0.96773,                0.88403,                0.94793,                0.77163,                0.72737,                 0.4311,                 1.1494,              0.0006239,              0.0006239,              0.0006239
                    141,                0.46736,                 0.3645,                 0.9544,                0.94996,                0.91065,                0.95517,                0.78696,                 0.7025,                0.44201,                 1.1226,               0.000614,               0.000614,               0.000614
                    142,                0.47849,                0.36959,                 0.9597,                0.97122,                0.89823,                0.95885,                0.79303,                0.71736,                0.44346,                 1.1357,              0.0006041,              0.0006041,              0.0006041
                    143,                0.48161,                0.37488,                0.96272,                0.96651,                0.87785,                0.94934,                0.78444,                0.70504,                0.44933,                 1.1343,              0.0005942,              0.0005942,              0.0005942
                    144,                0.46038,                0.35987,                0.95606,                0.97033,                0.87046,                0.95464,                0.78856,                0.72179,                0.43727,                  1.143,              0.0005843,              0.0005843,              0.0005843
                    145,                0.45738,                0.35269,                0.95271,                0.97906,                0.87262,                0.95993,                  0.781,                0.73146,                0.43009,                 1.1412,              0.0005744,              0.0005744,              0.0005744
                    146,                0.47204,                0.36876,                0.96223,                0.96325,                0.88403,                0.95444,                0.78259,                0.72884,                0.44789,                 1.1396,              0.0005645,              0.0005645,              0.0005645
                    147,                0.46297,                0.36349,                 0.9567,                0.94161,                0.90114,                0.95575,                 0.7739,                0.73844,                0.43341,                  1.155,              0.0005546,              0.0005546,              0.0005546
                    148,                 0.4689,                0.35998,                0.95146,                0.96926,                0.88593,                0.95549,                0.78311,                0.72711,                0.43378,                 1.1425,              0.0005447,              0.0005447,              0.0005447
                    149,                0.47168,                0.35903,                0.96194,                0.96319,                0.89734,                0.96088,                0.78438,                0.73513,                 0.4282,                 1.1487,              0.0005348,              0.0005348,              0.0005348
                    150,                0.45621,                0.35791,                0.94915,                0.93438,                0.91445,                0.95302,                0.79035,                0.71802,                0.43005,                 1.1381,              0.0005249,              0.0005249,              0.0005249
